中華臺湾,#genre#
NHK新闻信息台,http://220.134.74.149:7878/udp/224.1.4.137:11111
靖天欢乐台,http://220.134.74.149:7878/udp/224.1.4.105:11111
靖天欢乐台,http://220.134.74.149:7878/udp/230.1.2.241:11111
NICKELODEON,http://220.134.74.149:7878/udp/224.1.4.249:11111
NickJr.,http://220.134.74.149:7878/udp/224.1.4.179:11111
NickJr.,http://220.134.74.149:7878/udp/224.1.4.45:11111
NickJr.,http://220.134.74.149:7878/udp/224.1.4.58:11111
PET CLUB TV,http://220.134.74.149:7878/udp/224.1.4.124:11111
PET CLUB TV,http://220.134.74.149:7878/udp/230.1.2.130:11111
ROCK Entertainment,http://220.134.74.149:7878/udp/224.1.4.131:11111
ROCK Entertainment,http://220.134.74.149:7878/udp/224.1.4.14:11111
ROCK Extreme,http://220.134.74.149:7878/udp/224.1.4.146:11111
ROCK Extreme,http://220.134.74.149:7878/udp/224.1.4.99:11111
SMART知识,http://220.134.74.149:7878/udp/224.1.4.171:11111
SMART知识,http://220.134.74.149:7878/udp/224.1.4.22:11111
STARMOVIESHD(下架),http://220.134.74.149:7878/udp/230.1.2.164:11111
STARMOVIESHD(下架),http://220.134.74.149:7878/udp/230.1.2.2:11111
StarWorld(下架),http://220.134.74.149:7878/udp/224.1.4.27:11111
StarWorld(下架),http://220.134.74.149:7878/udp/230.1.2.160:11111
TaiwanPlus,http://220.134.74.149:7878/udp/230.1.2.210:11111
TaiwanPlus,http://220.134.74.149:7878/udp/230.1.2.30:11111
TechStorm,http://220.134.74.149:7878/udp/224.1.4.11:11111
TECHStorm,http://220.134.74.149:7878/udp/230.1.2.159:11111
TOP MODELS,http://220.134.74.149:7878/udp/230.1.2.25:11111
TRACESPORTS,http://220.134.74.149:7878/udp/224.1.4.242:11111
TRACESPORTS,http://220.134.74.149:7878/udp/230.1.2.84:11111
TRACEURBAN,http://220.134.74.149:7878/udp/224.1.4.241:11111
TRACEURBAN,http://220.134.74.149:7878/udp/230.1.2.82:11111
TRAVELCHANNEL,http://220.134.74.149:7878/udp/230.1.2.166:11111
TRAVELCHANNEL,http://220.134.74.149:7878/udp/230.1.2.4:11111
TV5MONDE STYLE,http://220.134.74.149:7878/udp/224.1.4.108:11111
TV5MONDE STYLE,http://220.134.74.149:7878/udp/224.1.4.208:11111
TV5MONDE,http://220.134.74.149:7878/udp/224.1.4.148:11111
TV5MONDE,http://220.134.74.149:7878/udp/224.1.4.16:11111
TVBS,http://220.134.74.149:7878/udp/224.1.4.153:11111
TVBS,http://220.134.74.149:7878/udp/224.1.4.24:11111
TVBS欢乐台,http://220.134.74.149:7878/udp/224.1.4.154:11111
TVBS新闻台,http://220.134.74.149:7878/udp/224.1.4.13:11111
TVBS新闻台,http://220.134.74.149:7878/udp/224.1.4.152:11111
TVBS精采台,http://220.134.74.149:7878/udp/230.1.2.225:11111
TVBS精采台,http://220.134.74.149:7878/udp/230.1.2.35:11111
tvN,http://220.134.74.149:7878/udp/224.1.4.111:11111
tvN,http://220.134.74.149:7878/udp/230.1.2.174:11111
人间卫视,http://220.134.74.149:7878/udp/224.1.4.89:11111
人间卫视,http://220.134.74.149:7878/udp/230.1.2.193:11111
八大优,http://220.134.74.149:7878/udp/224.1.4.86:11111
八大优,http://220.134.74.149:7878/udp/230.1.2.239:11111
三立戏剧,http://220.134.74.149:7878/udp/230.1.2.232:11111
三立戏剧,http://220.134.74.149:7878/udp/230.1.2.44:11111
三立财经新闻台,http://220.134.74.149:7878/udp/230.1.2.191:11111
三立财经新闻台,http://220.134.74.149:7878/udp/230.1.2.21:11111
三立综合台,http://220.134.74.149:7878/udp/230.1.2.192:11111
三立综合台,http://220.134.74.149:7878/udp/230.1.2.208:11111
三立综合台,http://220.134.74.149:7878/udp/230.1.2.22:11111
大立电视台,http://220.134.74.149:7878/udp/224.1.4.142:11111
大立电视台,http://220.134.74.149:7878/udp/224.1.4.73:11111
大爱一台,http://220.134.74.149:7878/udp/224.1.4.54:11111
大爱一台,http://220.134.74.149:7878/udp/230.1.2.190:11111
大爱二台,http://220.134.74.149:7878/udp/230.1.2.199:11111
大爱二台,http://220.134.74.149:7878/udp/230.1.2.29:11111
中信兄弟4K多视角,http://220.134.74.149:7878/udp/224.1.4.127:11111
中视,http://220.134.74.149:7878/udp/224.1.4.10:11111
中视,http://220.134.74.149:7878/udp/230.1.2.228:11111
中视经典,http://220.134.74.149:7878/udp/224.1.4.219:11111
中视经典,http://220.134.74.149:7878/udp/224.1.4.33:11111
中视菁采台,http://220.134.74.149:7878/udp/230.1.2.224:11111
中视菁采台,http://220.134.74.149:7878/udp/230.1.2.34:11111
中视新闻,http://220.134.74.149:7878/udp/224.1.4.252:11111
中视新闻,http://220.134.74.149:7878/udp/224.1.4.50:11111
公视,http://220.134.74.149:7878/udp/224.1.4.53:11111
公视,http://220.134.74.149:7878/udp/230.1.2.230:11111
公视2,http://220.134.74.149:7878/udp/230.1.2.185:11111
公视三台,http://220.134.74.149:7878/udp/224.1.4.228:11111
公视三台,http://220.134.74.149:7878/udp/230.1.2.62:11111
公视台语台,http://220.134.74.149:7878/udp/230.1.2.31:11111
HISTORY,http://220.134.74.149:7878/udp/230.1.2.216:11111
HISTORY,http://220.134.74.149:7878/udp/230.1.2.36:11111
天天电视,http://220.134.74.149:7878/udp/224.1.4.29:11111
天天电视,http://220.134.74.149:7878/udp/230.1.2.245:11111
世界羽球杂志,http://220.134.74.149:7878/udp/224.1.4.117:11111
世界羽球杂志,http://220.134.74.149:7878/udp/224.1.4.191:11111
东森购物1台,http://220.134.74.149:7878/udp/224.1.4.163:11111
东森购物1台,http://220.134.74.149:7878/udp/230.1.2.73:11111
东森购物2台,http://220.134.74.149:7878/udp/224.1.4.168:11111
东森购物2台,http://220.134.74.149:7878/udp/230.1.2.45:11111
东森购物3台,http://220.134.74.149:7878/udp/224.1.4.169:11111
东森购物3台,http://220.134.74.149:7878/udp/230.1.2.171:11111
东森购物3台,http://220.134.74.149:7878/udp/230.1.2.8:11111
东森购物4台,http://220.134.74.149:7878/udp/224.1.4.176:11111
东森购物4台,http://220.134.74.149:7878/udp/230.1.2.95:11111
东森购物5台,http://220.134.74.149:7878/udp/230.1.2.33:11111
半岛英语新闻台Al Jazeera,http://220.134.74.149:7878/udp/230.1.2.128:11111
古典音乐台,http://220.134.74.149:7878/udp/224.1.4.74:11111
古典音乐台,http://220.134.74.149:7878/udp/230.1.2.139:11111
台视,http://220.134.74.149:7878/udp/224.1.4.8:11111
台视,http://220.134.74.149:7878/udp/230.1.2.227:11111
台视财经台,http://220.134.74.149:7878/udp/224.1.4.248:11111
台视财经台,http://220.134.74.149:7878/udp/224.1.4.32:11111
台视综合台,http://220.134.74.149:7878/udp/224.1.4.170:11111
台视综合台,http://220.134.74.149:7878/udp/224.1.4.31:11111
台视新闻台,http://220.134.74.149:7878/udp/224.1.4.215:11111
台视新闻台,http://220.134.74.149:7878/udp/230.1.2.99:11111
台湾电视剧,http://220.134.74.149:7878/udp/224.1.4.62:11111
台湾戏剧,http://220.134.74.149:7878/udp/230.1.2.154:11111
正德电视台,http://220.134.74.149:7878/udp/224.1.4.195:11111
正德电视台,http://220.134.74.149:7878/udp/224.1.4.95:11111
民视,http://220.134.74.149:7878/udp/224.1.4.6:11111
民视,http://220.134.74.149:7878/udp/230.1.2.226:11111
民视台湾台,http://220.134.74.149:7878/udp/224.1.4.227:11111
民视台湾台,http://220.134.74.149:7878/udp/230.1.2.61:11111
民视第一台,http://220.134.74.149:7878/udp/224.1.4.218:11111
民视第一台,http://220.134.74.149:7878/udp/224.1.4.77:11111
民视新闻台,http://220.134.74.149:7878/udp/224.1.4.97:11111
民视新闻台,http://220.134.74.149:7878/udp/230.1.2.155:11111
生命电视,http://220.134.74.149:7878/udp/224.1.4.93:11111
生命电视,http://220.134.74.149:7878/udp/230.1.2.187:11111
龙华电影,http://220.134.74.149:7878/udp/224.1.4.251:11111
龙华电影,http://220.134.74.149:7878/udp/224.1.4.36:11111
龙华动画,http://220.134.74.149:7878/udp/224.1.4.109:11111
龙华动画,http://220.134.74.149:7878/udp/224.1.4.180:11111
龙华戏剧,http://220.134.74.149:7878/udp/224.1.4.41:11111
龙华戏剧,http://220.134.74.149:7878/udp/230.1.2.149:11111
龙华经典,http://220.134.74.149:7878/udp/224.1.4.172:11111
龙华经典,http://220.134.74.149:7878/udp/224.1.4.44:11111
龙华洋片,http://220.134.74.149:7878/udp/224.1.4.37:11111
龙华洋片,http://220.134.74.149:7878/udp/230.1.2.211:11111
龙华偶象,http://220.134.74.149:7878/udp/224.1.4.39:11111
龙华偶象,http://220.134.74.149:7878/udp/230.1.2.156:11111
龙华影剧,http://220.134.74.149:7878/udp/230.1.2.167:11111
龙华影剧,http://220.134.74.149:7878/udp/230.1.2.5:11111
亚洲美食频道,http://220.134.74.149:7878/udp/230.1.2.233:11111
亚洲美食频道,http://220.134.74.149:7878/udp/230.1.2.85:11111
亚洲旅游,http://220.134.74.149:7878/udp/224.1.4.34:11111
亚洲旅游,http://220.134.74.149:7878/udp/230.1.2.175:11111
亚洲综合,http://220.134.74.149:7878/udp/224.1.4.209:11111
亚洲综合,http://220.134.74.149:7878/udp/224.1.4.78:11111
华纳电视,http://220.134.74.149:7878/udp/224.1.4.234:11111
华纳电视,http://220.134.74.149:7878/udp/230.1.2.68:11111
华艺MBC,http://220.134.74.149:7878/udp/224.1.4.130:11111
华艺MBC,http://220.134.74.149:7878/udp/230.1.2.1:11111
华艺台湾台,http://220.134.74.149:7878/udp/224.1.4.185:11111
华艺台湾台,http://220.134.74.149:7878/udp/224.1.4.71:11111
华艺影剧,http://220.134.74.149:7878/udp/230.1.2.17:11111
华艺影剧,http://220.134.74.149:7878/udp/230.1.2.200:11111
华视,http://220.134.74.149:7878/udp/224.1.4.12:11111
华视,http://220.134.74.149:7878/udp/230.1.2.229:11111
华视教育体育文化台,http://220.134.74.149:7878/udp/224.1.4.223:11111
华视教育体育文化台,http://220.134.74.149:7878/udp/224.1.4.96:11111
华视新闻信息,http://220.134.74.149:7878/udp/224.1.4.55:11111
华视新闻信息,http://220.134.74.149:7878/udp/230.1.2.248:11111
华藏卫视,http://220.134.74.149:7878/udp/224.1.4.181:11111
华藏卫视,http://220.134.74.149:7878/udp/224.1.4.90:11111
GOODTV,http://220.134.74.149:7878/udp/224.1.4.4:11111
GOODTV,http://220.134.74.149:7878/udp/230.1.2.165:11111
佛卫慈悲台,http://220.134.74.149:7878/udp/224.1.4.178:11111
佛卫慈悲台,http://220.134.74.149:7878/udp/224.1.4.84:11111
纬来精采,http://220.134.74.149:7878/udp/224.1.4.222:11111
纬来精采,http://220.134.74.149:7878/udp/230.1.2.72:11111
达文西,http://220.134.74.149:7878/udp/224.1.4.233:11111
达文西,http://220.134.74.149:7878/udp/230.1.2.67:11111
国会频道1,http://220.134.74.149:7878/udp/224.1.4.173:11111
国会频道1,http://220.134.74.149:7878/udp/230.1.2.41:11111
国会频道2,http://220.134.74.149:7878/udp/224.1.4.174:11111
国会频道2,http://220.134.74.149:7878/udp/230.1.2.42:11111
国家地理野生(下架),http://220.134.74.149:7878/udp/230.1.2.137:11111
幸福空间居家台,http://220.134.74.149:7878/udp/224.1.4.123:11111
