
港澳台一线,#genre#
台视,mitv://135.148.104.228:19806/9868c18e3c0940cd8aa003d9ae54f862 
东森超视,http://www.238311.cn:538/x1243y.php?id=ebc-super
东森超视,rtmp://f13h.mine.nu/sat/tv331
东森综合台,http://www.238311.cn:538/x1243y.php?id=ebc-ettv
东森综合台,mitv://135.148.104.228:19806/a05a4d8b51f54013925315261a2c6aa9 
中视,http://www.238311.cn:538/x1243y.php?id=ctv
中视,mitv://135.148.104.228:19806/27826c4ed7234c0d8759bc7fe6786a18 
中视菁采台,http://www.238311.cn:538/x1243y.php?id=bravo
中视菁采台,mitv://135.148.104.228:19806/ae5e01a7bc294327b88f65aa5d38217c 
中天亚洲,http://www.238311.cn:538/x1243y.php?id=cti-asia
中天综合,http://www.238311.cn:538/x1243y.php?id=ctitv36
华视,http://www.238311.cn:538/x1243y.php?id=cts
华视,mitv://135.148.104.228:19806/761bc3c0662247d18b0db4da8070b7f4 
LiveABC 互动英语频道,http://www.238311.cn:538/x1243y.php?id=liveabc
好消息,http://www.238311.cn:538/x1243y.php?id=goodtv
好消息,mitv://135.148.104.228:19806/febf2282369d409d92d68514b72fc433 
KLT-靖天国际台,http://www.238311.cn:538/x1243y.php?id=jtgj
ELTA综合台,http://www.238311.cn:538/x1243y.php?id=elta-zonghe
公视,http://www.238311.cn:538/x1243y.php?id=pts
公视,mitv://135.148.104.228:19806/5bc9388122b840f1abd2ff73c85049a6 
公视3台,http://www.238311.cn:538/x1243y.php?id=pts-3
公视台语台,http://www.238311.cn:538/x1243y.php?id=pts-ty
靖天综合台,http://www.238311.cn:538/x1243y.php?id=jtzh
靖天综合台,mitv://135.148.104.228:19806/ed2e3f294dcc40c1b72aba372fbed64d 
靖天日本台,http://www.238311.cn:538/x1243y.php?id=jtrb
靖天日本台,mitv://135.148.104.228:19806/c88dcc9ddf6747b991fc1a0db939147d 
客家电视台,http://www.238311.cn:538/x1243y.php?id=hakkatv
客家电视台,mitv://135.148.104.228:19806/eafabb6e7c30439b8ecd35ad40a46a96 
大爱一台,http://www.238311.cn:538/x1243y.php?id=daai1
大爱二台,http://www.238311.cn:538/x1243y.php?id=daai2
ARIRANG 阿里郎频道,http://www.238311.cn:538/x1243y.php?id=arirang
中天新闻,http://www.238311.cn:538/x1243y.php?id=cti-news
TVBS 新闻台,http://www.238311.cn:538/x1243y.php?id=tvbs-news
TVBS HD,http://www.238311.cn:538/x1243y.php?id=tvbs-hd
东森新闻,http://www.238311.cn:538/x1243y.php?id=ebc-news

东森财经新闻,http://www.238311.cn:538/x1243y.php?id=ebc-finance
