大陆央视,#genre#
myTV SUPER直播足球4台,https://histar.zapi.us.kg/?id=mytv-super-soccer4
myTV SUPER 18,https://histar.zapi.us.kg/?id=mytvsuper-18
纬来体育,https://histar.zapi.us.kg/?id=videoland-sport
NBA,https://histar.zapi.us.kg/?id=nba
WWE,https://histar.zapi.us.kg/?id=wwe
DAZN 1,https://histar.zapi.us.kg/?id=eleven-sport1
DAZN 2,https://histar.zapi.us.kg/?id=eleven-sport2
Eurosports-1,https://histar.zapi.us.kg/?id=eurosports-1
SPOTV,https://histar.zapi.us.kg/?id=spotv
SPOTV-2,https://histar.zapi.us.kg/?id=spotv2
时尚运动 X,https://histar.zapi.us.kg/?id=ssydx
GINX Esports TV,https://histar.zapi.us.kg/?id=ginx-esports
Tech Storm,https://histar.zapi.us.kg/?id=tech-storm
TRACE Sport Stars,https://histar.zapi.us.kg/?id=trace-sport-stars
W-Sport,https://histar.zapi.us.kg/?id=w-sport
PremierSports,https://histar.zapi.us.kg/?id=premiersports
智林体育台,https://histar.zapi.us.kg/?id=zl-sports
欧美频道,#genre#
新时代电视,https://histar.zapi.us.kg/?id=fairchildtv
新时代电视二台,https://histar.zapi.us.kg/?id=fairchildtv2
城市电视,https://histar.zapi.us.kg/?id=talentvisiontv
HBO HD,https://histar.zapi.us.kg/?id=hbo-hd
HBO Hits HD,https://histar.zapi.us.kg/?id=hbo-hits-hd
HBO Family HD,https://histar.zapi.us.kg/?id=hbo-family
HBO Signature HD,https://histar.zapi.us.kg/?id=hbo-signature
Cinemax,https://histar.zapi.us.kg/?id=cinemax
CNN International,https://histar.zapi.us.kg/?id=cnn-international
好莱坞电影,https://histar.zapi.us.kg/?id=hollywood-movie
ROCK Action,https://histar.zapi.us.kg/?id=rock-action
ROCK Entertainment,https://histar.zapi.us.kg/?id=rock-entertaiment
Bloomberg,https://histar.zapi.us.kg/?id=bloomberg
amc 最爱电影,https://histar.zapi.us.kg/?id=amc-movie
美国中文电视,https://histar.zapi.us.kg/?id=sinovision
Lifetime 娱乐频道,https://histar.zapi.us.kg/?id=lifetime
HLN,https://histar.zapi.us.kg/?id=cnn-hln
fun 探索娱乐台,https://histar.zapi.us.kg/?id=festival4k
Euronews,https://histar.zapi.us.kg/?id=euronews
MyCinema Europe HD,https://histar.zapi.us.kg/?id=mycinema-europe
VOA 美国之音,https://histar.zapi.us.kg/?id=voa
DW 德国之声,https://histar.zapi.us.kg/?id=dw
CNN,https://histar.zapi.us.kg/?id=cnn
ABC News,https://histar.zapi.us.kg/?id=abc-news
BBC World News,https://histar.zapi.us.kg/?id=bbc-world-news
CNBC,https://histar.zapi.us.kg/?id=cnbc
大陆地方,#genre#
上海都市,https://histar.zapi.us.kg/?id=shds
上海新闻,https://histar.zapi.us.kg/?id=shxw
五星体育,https://histar.zapi.us.kg/?id=wxty
劲爆体育,https://histar.zapi.us.kg/?id=jbty
广东体育,https://histar.zapi.us.kg/?id=gdty
第一财经,https://histar.zapi.us.kg/?id=yicai
辽宁体育,https://histar.zapi.us.kg/?id=lnty
天津体育,https://histar.zapi.us.kg/?id=tjty
广东珠江,https://histar.zapi.us.kg/?id=gdzj
河南梨园,https://histar.zapi.us.kg/?id=hnly
辽宁都市,https://histar.zapi.us.kg/?id=lnds
辽宁影视,https://histar.zapi.us.kg/?id=lnys
黑龙江都市,https://histar.zapi.us.kg/?id=hljds
广州综合,https://histar.zapi.us.kg/?id=gzzh
广州影视,https://histar.zapi.us.kg/?id=gzys
广州竞赛,https://histar.zapi.us.kg/?id=gzjs
广东影视,https://histar.zapi.us.kg/?id=gdys
广东新闻,https://histar.zapi.us.kg/?id=gdxw
广东民生,https://histar.zapi.us.kg/?id=gdms
广东少儿,https://histar.zapi.us.kg/?id=gdse
少儿动画,#genre#
迪士尼频道,https://histar.zapi.us.kg/?id=disney
Animax 卡通,https://histar.zapi.us.kg/?id=animax-cartoon
DreamWorks 梦工厂动画,https://histar.zapi.us.kg/?id=dreamworks
小尼克频道,https://histar.zapi.us.kg/?id=nick-jr
尼克儿童频道,https://histar.zapi.us.kg/?id=nickelodeon
MOMO 亲子台,https://histar.zapi.us.kg/?id=momo-kids
东森幼幼台,https://histar.zapi.us.kg/?id=ebc-yoyo
CN卡通,https://histar.zapi.us.kg/?id=cn-cartoon
靖天卡通台,https://histar.zapi.us.kg/?id=jtkt
靖天育乐台,https://histar.zapi.us.kg/?id=jtyl
i-Fun 动漫台,https://histar.zapi.us.kg/?id=i-fun
ELTV生活英語台,https://histar.zapi.us.kg/?id=eltv
Boomerang HD,https://histar.zapi.us.kg/?id=boomerang-hd
靖洋卡通 NiceBingo,https://histar.zapi.us.kg/?id=nice-bingo
达文西频道,https://histar.zapi.us.kg/?id=da-vinci
人文旅游自然,#genre#
探索频道,https://histar.zapi.us.kg/?id=discovery
探索科学频道,https://histar.zapi.us.kg/?id=discovery-sci
探索亚洲频道,https://histar.zapi.us.kg/?id=discovery-asia
DMAX,https://histar.zapi.us.kg/?id=dmax
History 频道,https://histar.zapi.us.kg/?id=history
History-2 频道,https://histar.zapi.us.kg/?id=history-2
Love Nature,https://histar.zapi.us.kg/?id=love-nature
国家地理 野生频道,https://histar.zapi.us.kg/?id=natgeo-wild
民视旅游,https://histar.zapi.us.kg/?id=ftv-travel
美食星球频道,https://histar.zapi.us.kg/?id=food-planet
EYE 旅游台,https://histar.zapi.us.kg/?id=eye-travel
ELTA 生活旅游台,https://histar.zapi.us.kg/?id=elta-lifetravel
车迷TV,https://histar.zapi.us.kg/?id=motorvision
动物星球频道,https://histar.zapi.us.kg/?id=animal-planet
TLC 旅游生活頻道,https://histar.zapi.us.kg/?id=tlc
亚洲旅游台,https://histar.zapi.us.kg/?id=asia-travel
Asian Food Network,https://histar.zapi.us.kg/?id=asian-food-network
CI 罪案侦查频道,https://histar.zapi.us.kg/?id=ci
滚动力 rollor,https://histar.zapi.us.kg/?id=rollor
LUXE TV Channel,https://histar.zapi.us.kg/?id=luxe-tv
日韩频道,#genre#
NHK General,https://histar.zapi.us.kg/?id=nhk-g
NHK Education,https://histar.zapi.us.kg/?id=nhk-e
日本电视台,https://histar.zapi.us.kg/?id=nippon-tv
TBS TV,https://histar.zapi.us.kg/?id=tbs-tv
富士电视台,https://histar.zapi.us.kg/?id=fujitv
朝日电视台,https://histar.zapi.us.kg/?id=tv-asahi
东京电视台,https://histar.zapi.us.kg/?id=tv-tokyo
JSPORTS 1,https://histar.zapi.us.kg/?id=jsports1
JSPORTS 2,https://histar.zapi.us.kg/?id=jsports2
JSPORTS 3,https://histar.zapi.us.kg/?id=jsports3
