大陆央视,#genre#
DMAX,http://154.12.60.186/xsj.php?id=dmax
History 频道,http://154.12.60.186/xsj.php?id=history
History-2 频道,http://154.12.60.186/xsj.php?id=history-2
Love Nature,http://154.12.60.186/xsj.php?id=love-nature
国家地理 野生频道,http://154.12.60.186/xsj.php?id=natgeo-wild
民视旅游,http://154.12.60.186/xsj.php?id=ftv-travel
美食星球频道,http://154.12.60.186/xsj.php?id=food-planet
EYE 旅游台,http://154.12.60.186/xsj.php?id=eye-travel
ELTA 生活旅游台,http://154.12.60.186/xsj.php?id=elta-lifetravel
车迷TV,http://154.12.60.186/xsj.php?id=motorvision
动物星球频道,http://154.12.60.186/xsj.php?id=animal-planet
TLC 旅游生活頻道,http://154.12.60.186/xsj.php?id=tlc
亚洲旅游台,http://154.12.60.186/xsj.php?id=asia-travel
Asian Food Network,http://154.12.60.186/xsj.php?id=asian-food-network
