央视频道,#genre#
CCTV8,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv8?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV9,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv9?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV10,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv10?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV11,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv11?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV12,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv12?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV13,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv13?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV14,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv14?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV15,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv15?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV16,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/136?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV17,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv17?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
